https://www.coindesk.com/business/2023/11/13/asia-fund-picks-up-majority-stake-in-the-block-buys-out-shares-tied-to-sam-bankman-fried-loan/,Crypto News Site The Block Bought by Foresight Ventures in $70M Deal,2023-11-13 00:00:00,,"Most of the capital was used to buy out former CEO Mike McCaffrey's stake. McCaffrey resigned in December, 2022 after informing The Block's editorial team that the website had secretly been funded since 2020 by Sam Bankman-Fried’s Alameda Research. Bankman-Fried has since been found guilty of seven charges of fraud."
https://www.coindesk.com/business/2023/08/02/binance-nearly-shuttered-us-exchange-to-protect-global-operations-the-information/,Binance Nearly Shuttered U.S. Exchange to Protect Global Operations: The Information,2023-08-02 00:00:00,,"A person familiar with the matter told the outlet that the board of directors of Binance.US, the U.S. affiliate of the massive exchange, voted on whether to liquidate the company but could not come to a unanimous decision, with Binance.US CEO Brian Shroder blocking the decision. Zhao serves as chair for the Binance.US board of directors."
https://www.coindesk.com/consensus-magazine/2023/04/25/nft-now-web3-news-tokenized-media/,Alejandro Navia: Building the Future of Tokenized Media,2023-04-25 00:00:00,,"It's very simple. To the outsider it looks like there's a lot going on, but when you actually start looking into it it really just comes down to a single purpose that I have in my life – to be of service. I'm very much aligned in terms of mental health and really bringing it to nft now. It’s about empowering the creators of [Web3] culture and bringing the technology from niche to mainstream. And we’re exploring the ways to do that in an effective way that tells the stories of others and empowering those who are the visionaries of the [NFT] space."
https://www.coindesk.com/consensus-magazine/2023/03/24/decentralized-media-web3-news-reporting/,Decentralized Media Via Web3: A Solution to Bias and Trust Issues in News?,2023-03-24 00:00:00,,"It will be about connecting the offline world to the online world. Such as using sensors. And I think that's probably going to involve Web3 and blockchain in some significant way, so that in an automated fashion we can show that a certain chain of custody is not broken, or that we understand that events have been verified because of the way that they were brought on-chain. And lots of on-chain data will be analyzed as a kind of news. How that will look, exactly, I’m very curious to see."
https://www.coindesk.com/markets/2022/08/19/bitcoin-retraces-3-weeks-of-gains-as-analysts-blame-macroeconomic-turmoil/,Bitcoin Retraces 3 Weeks of Gains as Analysts Blame Macroeconomic Turmoil,2022-08-19 00:00:00,,"Two analysts with whom CoinDesk spoke said investor concerns about inflation and the likelihood of continued monetary hawkishness by the U.S. Federal Reserve had spurred the decline in crypto prices and other riskier assets. The tech-heavy Nasdaq index, whose fluctuations have largely correlated with bitcoin this year, recently fell over 2%. The S&P 500, which has a strong tech component, was down about 1.2%."
https://www.coindesk.com/markets/2022/08/10/near-crypto-token-pumps-after-coinbase-adds-it-to-listing-roadmap/,NEAR Crypto Token Pumps After Coinbase Adds It to Listing Roadmap,2022-08-10 00:00:00,,"Near was created to operate faster and cheaper than Ethereum. It achieves its high transaction speed and capacity through a process called “sharding,” which breaks the blockchain into subchains that are operated on by different validators and get regularly connected to each other."
https://www.coindesk.com/markets/2022/07/26/investors-waiting-for-safe-token-can-buy-gnosis-tokens-for-now/,Investors Waiting for Safe Token Can Buy Gnosis Tokens for Now,2022-07-26 00:00:00,,"“Lots of things have been done on the Ethereum clients that cannot really shine on Ethereum yet because Ethereum is very conservative in terms of introducing any kind of change,” Gnosis co-founder and Chief Technology Officer Stefan George said in an interview. “Because Gnosis Chain is less valuable than Ethereum, we can be less conservative and push what is possible on an EVM network.” EVM stands for Ethereum virtual machine, which is the software platform that developers use to create decentralized applications on Ethereum."
https://www.coindesk.com/business/2022/02/25/associated-press-cancels-sale-of-migrant-video-nft-after-backlash/,Associated Press Cancels Sale of Migrant Video NFT After Backlash,2022-02-25 00:00:00,,"“This was a poor choice of imagery for an NFT,” AP spokeswoman Lauren Easton said. “It has not and will not be put up for auction. The tweet promoting it was also deleted.”"
https://www.coindesk.com/layer2/2021/12/18/web-3-is-a-return-to-the-internets-wild-spirit/,Web 3 Is a Return to the Internet’s Wild Spirit,2021-12-18 00:00:00,,"These broader cultural possibilities really came home to me in March, when the indie rock band Kings of Leon launched their new album, “When You See Yourself,” as an NFT project offered through a company I’d never heard of called YellowHeart. This sale connected digital tokens not only to digital art commissioned by the band’s longtime collaborators, but also to physical vinyl albums, to music downloads and to experiences – tickets to shows, in this case, including a very few “Golden Tickets” that entitle holders to four front-row seats at a Kings of Leon headline show in any city in the world, one performance per tour, for as long as the band continues touring. Also included: a personal car and driver for eight hours, concierge service, swag bags and a backstage meet and greet with the band."
https://www.coindesk.com/podcasts/markets-daily/crypto-news-roundup-for-sept-7-2021/,"Crypto News Roundup for Sept. 7, 2021",,"Adam B. Levine, Adrian Blust","Markets Daily Crypto Roundup

CoinDesk Markets Week in Review

CoinDesk Indices presents notable data insights from the week, followed by additional analysis from an industry expert."
